"지역","연령(만)","성별","신장","체중","BMI","체지방률","허리둘레","윗몸일으키기","악력(D)","악력(ND)","제자리멀리뛰기","20m 왕복오래달리기","좌전굴","10m 왕복달리기","연령집단"
1,23,1,172.5,83.3,27.9941188825877,30.6,88,40,41.2,42.6,206,33,14.2,11.25,1
1,23,1,177.3,67.3,21.409059690558,12.1,76,43,45.6,41.1,253,60,21.3,9.87,1
1,23,1,177.8,80.92,25.597194051531,20.7,86.5,56,47.5,39.2,230,51,15.2,9.4,1
1,23,1,177.9,77.6,24.5,20.8,85.2,39,46.5,45.1,241,42,-12.4,10.13,1
1,23,1,183.9,80.2,23.7143327712268,19,91.6,22,46,39.5,213,50,11.3,10.63,1
1,23,1,186.3,96.7,27.8612607177257,23.8,90.3,54,53.6,53.7,248,60,22.4,9.8,1
1,23,2,149.9,43.6,19.4036406748373,27.6,71.5,20,23.3,22.4,139,16,17,14.32,1
1,23,2,150.5,65.2,28.7855542433307,40.5,79.5,36,24.7,20.8,127,27,29.7,13.86,1
1,23,2,158.2,58.9,23.5343569646513,31.7,81.5,28,18.9,17.7,79,16,-12.7,14.2,1
1,23,2,158.6,57.4,22.8194685846682,32.1,77,17,30.9,25.7,106,11,13.8,14.56,1
1,23,2,163.4,54.2,20.2999599993408,29.3,74.5,17,27.5,25.6,140,15,-7.7,12.69,1
1,23,2,165.2,54.7,20.0432083203865,25,67,36,24.8,21.1,134,42,14.5,13.5,1
1,23,2,165.2,60,21.9852376457621,29.9,83.5,25,25.2,22.7,158,36,21.2,12.78,1
1,23,2,166.7,58,20.871650504932,17,78.5,46,30.5,26.3,214,28,17.4,10.4,1
1,24,1,170.6,78,26.8001082999248,16.9,90,58,47.7,45.8,230,62,17.6,9.06,1
1,24,1,172.2,72.94,24.5979811714493,19.6,84.5,54,45.6,45.7,242,55,15.5,9.65,1
1,24,1,173.7,75,24.8577391587942,21.2,85,43,44.2,35.3,225,46,11.6,10.55,1
1,24,1,174.9,71.52,23.3801819613658,16.7,81.4,41,47.9,44.1,193,50,10.1,11.09,1
1,24,1,175.7,62.4,20.2134789567642,11,72.5,50,42.5,35.5,248,60,-3.6,14.3,1
1,24,1,180.1,73.9,22.7833201432605,8.9,82,56,47,49.6,232,53,14.4,9.94,1
1,24,2,155.1,44,18.2906475346493,13.2,62.5,50,30.3,25.8,198,41,17,10.43,1
1,24,2,161.8,59.8,22.8425271321857,21.7,69.8,44,44.3,40.2,194,51,29.7,11.1,1
1,24,2,162.9,50.4,18.9927725717232,23.7,68.9,32,24,21.9,151,21,25.2,12.02,1
1,24,2,165.9,52.5,19.0750871731484,23.2,67.9,24,28.6,23.2,167,13,13.7,13.22,1
1,24,2,167,61.5,22.051704973287,24.1,72.3,36,30,27.7,161,26,29.7,12.85,1
1,24,2,168.8,87.8,30.8141101951888,39.3,99.2,27,25.7,25.5,160.3,12,10.3,12.9,1
1,24,2,176.1,64.9,20.9279160664805,24.9,67.3,34,28.9,28.1,156,24,31.3,13.7,1
1,25,1,167,68.7,24.6333679945498,22.8,77,40,43.2,39.9,179,60,9.1,10.8,2
1,25,1,169,63.6,22.3,15.7,77.5,68,43.9,49.7,232,80,17,9.59,2
1,25,1,169,69,24.1588179685585,10,85,58,37.8,42.3,245,60,28,10.01,2
1,25,1,173,98.9,33.0448728657824,29.9,107.6,37,30.7,33.7,211,30,2.7,11.04,2
1,25,1,173.1,68.8,22.9611852510429,19.2,83.8,56,45.2,42,203,65,12,11.97,2
1,25,1,174,72.5,23.9463601532567,24,88.6,45,41.2,43.3,224,40,7.6,10.41,2
1,25,1,174.8,76.4,25.0040582502919,17.1,83.2,57,39.5,39.2,231,54,18.8,9.73,2
1,25,1,176.6,72.64,23.2913379565442,18.5,78.11,46,42.6,39.1,225,33,21.6,11.22,2
1,25,1,178.8,105.8,33.094104870151,31.3,109,25,49.4,40.5,188,13,-7.8,12.72,2
1,25,1,180,76.3,23.5493827160494,20.2,84.6,46,31.6,33.1,212,40,-6,11,2
1,25,1,187.4,79.38,22.6033037612945,11.3,79.3,35,47.5,46.5,259,36,5.2,10,2
1,25,2,152.7,47.1,20.199602955575,25.3,69.2,52,27.2,19.9,194,79,30.6,10.2,2
1,25,2,156.2,48.4,19.8373338623289,30,64.4,16,21.8,16.6,152,45,24.7,13.37,2
1,25,2,156.2,54,22.1325625736727,31.8,75.7,20,29.5,27.1,147.8,33,17.6,12.83,2
1,25,2,156.6,53.1,21.7,30.8,67.1,33,24.4,21.9,157,36,16,11.72,2
1,25,2,159.9,49.9,19.5165755958324,13.8,67.8,71,33.4,27.5,222,64,23.6,9.5,2
1,25,2,160.8,59.5,23,30.2,63.3,42,21.2,22,147,43,17,11.53,2
1,25,2,160.9,52.5,20.279031751556,33.2,67,25,27.2,26.2,162,18,15.8,12.26,2
1,25,2,161.6,67.9,26.0008209979414,39.6,87,24,21,24.4,160,17,16.3,13.9,2
1,25,2,163.5,58.9,22.0333118237335,24.9,69.1,64,37.6,34.7,213.2,60,24.7,9.5,2
1,25,2,163.5,58.9,22.0333118237335,24.9,75.6,64,37.6,34.7,213,40,24.7,9.53,2
1,25,2,164.5,56.62,20.9236795668924,32.9,73.9,28,24.5,25.7,134,14,20.6,13.08,2
1,25,2,165,56,20.5693296602388,23.8,75,45,28.5,26,175,43,27.3,11,2
1,25,2,165.2,57.8,21.1791122654175,27.5,78.5,37,29.9,29.1,141,17,28.6,13.32,2
1,25,2,165.6,51.4,18.7431445307942,33.9,69.2,21,22.6,19.6,135,12,-7.5,14,2
1,25,2,168.1,60.4,21.3747730257442,31.5,78,20,25.4,19.9,158,33,-3.9,12.85,2
1,25,2,168.2,51.1,18.062128065083,23.5,68.8,41,23.9,20.2,185,32,23.7,10.91,2
1,26,1,166.7,76.5,27.5,30.8,94.6,37,38.5,34.4,184,23,7.3,11.84,2
1,26,1,168.6,69.9,24.5901985368304,21.6,83,53,32.9,32.9,201,59,9.1,9.7,2
1,26,1,173.5,79.2,26.3,25,81.5,38,52.8,45.4,216,60,38,10,2
1,26,1,174.6,68.74,22.5486761427527,14.9,79.2,38,34.9,35.2,180,49,2.2,11.09,2
1,26,1,175.6,85.6,27.7603374826822,22.7,94.5,59,55.5,52.9,235,53,19.1,9.55,2
1,26,1,178.9,51.16,15.9848974588825,9.8,67.6,34,39.7,33.4,221,36,9.6,11.08,2
1,26,1,179.1,86.5,26.9,22.3,89,40,44.6,44.2,221,65,21.9,10.41,2
1,26,1,189.8,86.48,24.0061914210622,15.1,84.9,37,34.1,37.4,244,37,5.6,10.14,2
1,26,2,160,51.8,20.234375,28.4,73,43,28.8,25.6,167,33,22.8,11.74,2
1,26,2,162.4,61.9,23.4702977504914,31.9,75.3,34,20.5,19,195,29,20.8,10.99,2
1,26,2,163.5,52.22,19.5344574437243,22.7,69,41,23.7,21.2,165,31,10.4,11.5,2
1,26,2,164.2,48.6,18.0256097181032,24.4,75,23,27.6,26.3,134,25,15.9,12.18,2
1,26,2,164.5,57.1,21.1010615201264,29.4,67,47,26.7,23.5,176,51,12.6,11.83,2
1,26,2,168.9,60.18,21.0956486806807,26.9,69.8,27,23.1,20.3,158,14,25.4,12.17,2
1,26,2,169.2,67.2,23.4729976694667,32.7,84,43,30.9,30,115.4,20,0.5,13.6,2
1,27,1,168.8,65.8,23.0930347476472,19.7,76,50,34.5,33.8,179,67,-10.4,11.2,2
1,27,1,170.8,76.5,26.2232009170236,26.8,81.5,51,41.4,40.3,186,32,9.4,11.02,2
1,27,1,171.1,75.4,25.7555795500698,23,81,47,38.6,32.9,182,45,7.6,11.24,2
1,27,1,174.6,80,26.242276569977,25.9,87,58,43.5,37.3,222,60,18.9,10.72,2
1,27,1,174.8,61.1,19.9967010352466,18.7,74.5,46,33.7,32.3,207,61,10,10.63,2
1,27,1,176.4,97.7,31.3976686668621,37,107.2,36,48.8,37.5,166.4,24,7.3,13.7,2
1,27,1,177.9,71,22.4339864151153,17.3,83.6,49,40.3,39.5,226.4,63,10.6,11.1,2
1,27,1,181.5,95.06,28.8565595853349,25.1,95,39,51.1,45.4,168,51,16,10.38,2
1,27,1,182.7,75.1,22.5,21.8,88,52,39.9,40.1,192,43,12,12.15,2
1,27,1,184.5,82.9,24.4,14.7,84.7,54,41.9,35.5,205,30,-9.5,12.51,2
1,27,2,155,47.5,19.7710718002081,27.7,69.6,36,24.2,18.9,187,41,24.6,11.23,2
1,27,2,157.1,44.1,17.8684227693138,17.8,63.1,40,25.9,22.7,145,30,16.6,12.52,2
1,27,2,160.6,62.3,24.1544395317063,31.7,76,21,18.5,17,126,28,15,14.2,2
1,27,2,165,66.7,24.4995408631772,32.6,80,39,19.9,19,151,23,1.2,12.73,2
1,27,2,168.3,52.8,18.6408490906761,12.2,65,40,29.8,25.5,208,53,17.9,10.62,2
1,27,2,169,79.2,27.7301214943454,33.4,87.6,35,32.8,25.9,116,11,16.2,14.79,2
1,27,2,169.1,104.3,36.4751505605388,47.2,107.3,20,41.7,38.8,128,22,5.8,14.5,2
